id,typeId,subtypeId,date,advertiser,descriptions,region,province,city,zipcode,latitude,longitude,rooms,bathrooms,surface,energy_certificate,antiquity,floor,surfaceland,price
158334980,2,1,2020-12-27T23:02:55.18,,"{'es-ES': 'Excelente piso orientado hacia avenida gasteiz con todos los servicios a mano,última planta,muy luminoso,sin edificios delante,con todos los servicios a mano,frente parada tranvía,zona verde frente al portal.Con 3 habitaciones todas grandes,Gran pasillo,recibidor,armarios empotrados,salón,2 baños,cocina grande y terraza.Se ha hecho mucha reforma con materiales de calidad.Comunidad y zona muy tranquila'}",País Vasco,Araba - Álava,Vitoria - Gasteiz,01012,42.8585,-2.681,3,2,109,5,0,0,0,295000.0
163037205,2,1,2022-03-25T12:56:47.57,MUNDOINMOBILIARIO,"{'es-ES': 'Vivienda muy luminosa en exclusiva en la calle José Domingo de Olarte en Lakuabizkarra ubicada en zona con todos los servicios.\r\nPiso de 82m² con tres dormitorios con armarios empotrados ,un baño con ducha y un aseo . Salón amplio con acceso a terraza cerrada y cocina con terraza cerrada.\r\nTrastero en entrecubierta y plaza de garaje sin acceso directo.\r\nAscensor con proyecto de cota cero (obra pagada) y reforma de los elementos comunes proyectada y pagada.\r\nCalefacción individual de gas natural.\r\nOrientación Este-Oeste ,muy luminoso.'}",País Vasco,Araba - Álava,Vitoria - Gasteiz,01010,42.85933,-2.693765,3,2,82,7,6,8,0,235000.0
162562071,2,5,2022-02-07T21:12:30.607,PISOS Y MAS,"{'es-ES': 'Bonita casa adosada\xa0en el municipio de Bernedo (ubicado en el pueblito de San Román).\r\n\r\nConsta de 2 plantas.\r\n\r\nEn la planta principal encontramos la cocina, el salón comedor con chimenea y horno de leña.También en la planta baja dispone de un baño completo con bañera hidromasaje, 1 dormintorio y despensa (caldera y depósito de gasoil).Toda la planta es de suelo cerámico y con ventanas de doble acristalmiento de PVC.\r\n\r\nEn la planta superior encontramos otros 2\xa0dormitorios más con suelos en madera (africana). El principal con cuarto\xa0de baño (completo con ducha).y un balcón.\r\n\r\nToda la vivienda nos ofrece una aspecto rÚstico con vigas vistas y zonas con piedra natural y techos altos con vigas vistas, dando calidez a todas las estancias, y con un jardin privado de 100 m2 para disfrutar de las vistas\xa0de la montaña Alavesa.\r\n\r\nSe vende semiamueblada y construida en el 2004.\r\n\r\n\xa0'}",País Vasco,Araba - Álava,Bernedo,01128,42.66887,-2.44495,3,2,150,5,4,3,0,160000.0
162373658,2,3,2022-01-20T16:17:24.697,AIALA INMOBILIARIA,"{'es-ES': 'CASERIO PARA REFORMA integral en idílico lugar con inmejorables vistas, en el Valle de Ayala..\r\n\r\nLa vivienda cuenta 321,25 útiles divididos en tres plantas.\r\n\r\nEstá ubicada en un terreno de 1.858 metros cuadrados.\r\n\r\nEl caserío cuenta con proyecto básico de rehabilitación. '}",País Vasco,Araba - Álava,Ayala / Aiara,01477,43.07372,-3.084172,0,0,321,0,0,0,0,90000.0
162832411,2,1,2022-03-04T19:48:10.723,FINCAS ULETA,"{'es-ES': 'Si buscas un piso luminoso de 3 dormitorios, terraza amplia, buena altura y orientación que además sea VPO, sigue leyendo.\r\n\r\nEn Zabalgana, cercano a los supermercados, con buenas comunicaciones con otras zonas de la ciudad.  \r\n\r\nOs traemos una vivienda de protección oficial con suelo en propiedad con una superficie útil de 90 m2. Está distribuida en 3 dormitorios, salón de 29 m2 con zona de comedor y de estar y también con salida a una terraza amplia ideal para relajarse, cocina con cristalera al salón y 2 baños.\r\n\r\nLa altura, orientación y los grandes ventanales hacen que todas las estancias estén llenas de luz y sol.\r\n\r\nEsta vivienda tiene una plaza de garaje con acceso directo y un trastero. \r\n\r\nEstá en perfecto estado. \r\n\r\nNo dejes de escapar esta oportunidad. \r\n\r\nFincas Uleta\r\nOrtiz de Zárate, 7\r\n945-155555'}",País Vasco,Araba - Álava,Vitoria - Gasteiz,01015,42.85312,-2.70718,3,2,95,7,3,7,0,185000.0
161595427,2,1,2021-10-20T13:21:57.553,Monapart,"{'es-ES': 'Te gustará saber: \n - Este piso se encuentra en buen estado de conservación.\n - Dispone de 3 habitaciones dobles, 1 baño y 1 aseo.\n - Esta en finca con buen estado de conservación.\n - Se podría vender con muebles en caso que interese.\n \n Es especial por:\n - Espacios amplios con mucha luz y en buen estado.\n - Situado en plena Plaza Sant Vicente con vistas despejadas a la plaza.\n - Es totalmente exterior en todas sus estancias.'}",País Vasco,Araba - Álava,Oyón-Oion,01320,42.506,-2.437211,3,2,102,7,6,6,0,84000.0
162054181,2,1,2021-12-11T21:55:38.213,Lanbylan,"{'es-ES': 'Tranquila vivienda ubicada en pleno centro de Vitoria-Gasteiz, a dos pasos de la calle Dato y de la estación de tren de Renfe. En perfecto estado de mantenimiento con una superficie construida de 82,58 m2 con espacios distribuidos en plano en: Salón-Comedor de 22 m2;  Dormitorio 1 de 12 m2 ; Dormitorio 2 de 15 m2 ; Cocina de  7,5 m2 con opción de integrar a salón - comedor; Baño de 4,7 m2.y vestíbulo. \n\nLa instalación de calefacción y agua caliente es de gas natural individual.\n\nLa vivienda está ubicada en edificio en buen estado, construido como obra nueva hace menos de 25 años, con estructura de hormigón. El edificio dispone de ascensor a cota cero y cuenta con contrato de limpieza externo para zonas comunes, encontrándose la vivienda anunciada al corriente en las cuotas e impuestos. La vivienda está cargada con hipoteca a cancelar en el momento de la compra-venta.\n\nAnuncio particular publicado por la propiedad y dirigido a particulares. (Nota: se dispone de agente propio del sector inmobiliario).'}",País Vasco,Araba - Álava,Vitoria - Gasteiz,01005,42.84199,-2.670087,2,1,82,5,5,0,0,275000.0
162816040,2,1,2022-03-03T14:19:04.803,AIALA INMOBILIARIA,"{'es-ES': 'Se vende piso TOTALMENTE EXTERIOR en LATEORRO. \r\nPiso muy LUMINOSO, debido a su altura, un tercero y su buena orientación.\r\n\r\nLa vivienda consta de 70 metros cuadrados distribuidos en; cocina, sala, una despensa que se accede desde el mismo hall de entrada, tres habitaciones y un cuarto de baño con ventana y ducha.\r\n\r\nCuenta con ventanas de PVC con doble acristalamiento y oscilobatientes. \r\nDispone de un TRASTERO de 17 metros cuadrados.\r\n\r\nAmueblado, para ENTRAR A VIVIR\r\n\r\nEl precio de 120.000 es sin incluir la derrama del ascensor a cota cero y de la renovación del portal con video portero que ya está aprobada para comenzar en mayo.  También cabe la opción de adquirirlo con la derrama pagada.'}",País Vasco,Araba - Álava,Laudio / Llodio,01400,43.14315,-2.958586,3,1,70,6,0,8,0,120000.0
160104497,2,1,2021-05-19T19:46:49.117,BEST HOUSE VITORIA,"{'es-ES': 'Bonita vivienda para entrar situada en la calle Barrancal, en el Casco Histórico de Vitoria-Gasteiz.\n \n En el año 2005 se realizó una reforma integral de la vivienda.\n \n Tiene una superficie útil de 55 m²,  y se distribuye en tres dormitorios, sala, cocina y baño con ducha. \n \n Incluye un trastero de 8 m² bajo cubierta. \n \n Dispone de puerta de entrada blindada, puertas de interior de madera de roble, ventanas de aluminio climalit, los suelos son de tarima flotante y cerámicos. \n \n La vivienda se vendería casi completamente amueblada. \n \n Tiene calefacción individual de gas. \n \n No dispone de ascensor.\n \n Gastos de comunidad 30€/mes.\n \n La vivienda es exterior la sala, la cocina y un dormitorio, que dan a la calle, y el resto  de estancias dan a un patio de manzana. La orientación es norte-sur. \n \n En el edificio se ha renovado el tejado y el resto de elementos están al día en el mantenimiento. La ITE está presentada.\n \n Vivienda muy soleada y luminosa, ubicada en una zona tranquila del Casco Histórico.'}",País Vasco,Araba - Álava,Vitoria - Gasteiz,01001,42.85168,-2.671626,3,1,60,5,7,9,0,147000.0
160628800,2,6,2021-07-07T04:45:22.98,,"{'es-ES': 'Piso ático de 110 m2 útiles de 154 construidos (80 vivienda 30 buhardilla), completamente amueblado y con electrodomésticos, para entrar a vivir. 3 habitaciones, sala de estar con chimenea, cocina con electrodomésticos, 2 baños, trastero buhardilla de 30m2. Doble aislamiento térmico, bajo el tejado y bajo el techo, con lo que en invierno apenas hace falta calefacción. Oportunidad para inversionistas, aprovechando alturas hasta el tejado y elevando a 2 metros de altura zona de trastero-buhardilla y segundo baño, se podrían hacer 2 viviendas de entre 60 y 70 m2'}",País Vasco,Araba - Álava,Laguardia,01300,42.55447,-2.58464,3,2,110,2,0,0,0,85000.0
159473770,2,1,2021-03-29T21:20:07.463,YAINMO,"{'es-ES': 'En la zona de San Cristobal,\xa0a un paso del centro, universidades\xa0y con el tranvia a lado.\r\n\r\nEsta vivienda de 60 metros cuadrados utiles\xa0dispone de 3 dormitorios, salón, cocina equipada y un baño completo.\r\n\r\nCalefaccion individual de gas.\xa0\r\n\r\nVentanas de aluminio, suelos de parquet flotante ,paredes de gotele y puertas de roble.\r\n\r\nCon un trastero para almacenaje.\r\n\r\nIdeal para invertir ya que la zona es muy demandada.\r\n\r\n¡VISITALO!\r\n\r\n\xa0'}",País Vasco,Araba - Álava,Vitoria - Gasteiz,01006,42.84023,-2.668226,3,1,70,7,7,3,0,149000.0
162193537,2,3,2021-12-24T16:05:25.757,PERALES DIGITAL,"{'es-ES': 'La Baranda. Chalet adosado en Lakua, 187 m2 útiles distribuidos en salón, cocina, 4 habitaciones, 2 baños, aseo, porche acristalado, jardín y terraza. Dispone de 2 trasteros y amplia plaza de garaje para 2 coches. La calefacción es individual de gas. Muy luminoso, con jardín de 100 m2 orientado al oeste. La cocina y los baños se quedan completamente equipados con materiales de primera calidad. Dispone de alarma y las paredes exteriores están aisladas con inyección aislante. Certificación energética E226/E47'}",País Vasco,Araba - Álava,Vitoria - Gasteiz,01010,42.86971,-2.682178,4,3,213,5,0,0,0,595000.0
162193541,2,3,2021-12-24T16:12:06.76,GENERAL INMOBILIARIA,"{'es-ES': 'La Baranda. Chalet adosado en Lakua, 187 m2 útiles distribuidos en salón, cocina, 4 habitaciones, 2 baños, aseo, porche acristalado, jardín y terraza. Dispone de 2 trasteros y amplia plaza de garaje para 2 coches. La calefacción es individual de gas. Muy luminoso, con jardín de 100 m2 orientado al oeste. La cocina y los baños se quedan completamente equipados con materiales de primera calidad. Dispone de alarma y las paredes exteriores están aisladas con inyección aislante. Certificación energética E226/E47'}",País Vasco,Araba - Álava,Vitoria - Gasteiz,01010,42.86868,-2.68273,4,3,213,5,0,0,0,595000.0
159793300,2,1,2021-04-22T20:09:12.75,,"{'es-ES': 'El piso cuenta con instalación domótica, aspiración centralizada, instalación musical en todas las estancias.\nPuerta de entrada blindada. \nCamarote trastero.'}",País Vasco,Araba - Álava,Iruña Oka / Iruña de Oca,01230,42.81789,-2.807309,3,1,70,5,0,0,0,132000.0
