id,typeId,subtypeId,date,advertiser,descriptions,region,province,city,zipcode,latitude,longitude,rooms,bathrooms,surface,energy_certificate,antiquity,floor,surfaceland,price
160022531,2,1,2021-05-12T19:44:00.72,Inmobiliaria Rubio,"{'es-ES': 'GRAN PISO EN ZONA CENTRO, CON SALÓN INDEPENDIENTE, COCINA GRANDE , DORMITORIOS AMPLIOS, BAÑOS COMPLETOS, UNO CON DUCHA Y OTRO CON BAÑERA, CALEFACCIÓN CENTRAL EN TODA LA VIVIENDA, ASCENSOR , MUY LUMINOSO, FRENTE AL COLEGIO JOSEFINAS Y JUNTO AL COMPLEJO DEPORTIVO EL PERÚ, MEJOR VER. \r\nSI LO QUIERES PARA VIVIR, CONVENDRÍA HACERLE ALGO DE REFORMA, SI ES PARA ALQUILAR, TE GARANTIZAMOS ALQUILER DESDE EL MISMO DIA DE ADQUIRIRLO.[IW]'}",Extremadura,Cáceres,Cáceres Capital,10001,39.46821,-6.38207,3,2,95,7,6,8,0,129000.0
160022537,2,1,2021-05-12T19:44:01.8,Inmobiliaria Rubio,"{'es-ES': 'UBICADA EN UNA ZONA ESTRATÉGICA DE LA CIUDAD, MUY BIEN COMUNICADA Y AL LADO DEL PARQUE DEL RODEO, COLEGIOS, INSTITUTOS, CENTROS SANITARIOS, ZONA COMERCIAL... DE ESTANCIAS AMPLIAS Y LUMINOSAS. ESTA PREPARADA PARA VIVIR,  LAS TUBERIAS HAN SIDO CAMBIADAS Y LA COCINA REFORMADA. A UN PRECIO EXCEPCIONAL. SE PUEDE VISITAR[IW]'}",Extremadura,Cáceres,Cáceres Capital,10001,39.46706,-6.37046,4,2,110,7,0,8,0,78000.0
160022538,2,1,2021-05-12T19:44:11.737,Inmobiliaria Rubio,{'es-ES': 'PISO CON VISTAS A LA PLAZA MAYOR DE MAS DE 200 METROS CUADRADOS. ESTA PARA REFORMAR Y TIENE MUCHISIMAS POSIBILIDADES. TIENE UNA TERRAZA COMUNITARIA DE UNOS 30 METROS Y UN TRASTERO.[IW]'},Extremadura,Cáceres,Cáceres Capital,10001,39.47458,-6.369391,5,2,204,7,9,8,0,95000.0
160432139,2,1,2021-06-16T16:58:44.243,Patricia,"{'es-ES': 'Estupendo  piso céntrico, 2º sin ascensor, recién reformado. Perfecto para inversión.\nColegio, supermercados, parques... Lo tienes todo al lado.\nEn pleno centro de Plasencia. \nNo dejes escapar esta oportunidad!!!\nLlámame sin compromiso (Patricia)'}",Extremadura,Cáceres,Plasencia,10600,40.03343,-6.08765,3,1,68,1,0,0,0,80000.0
157614091,2,9,2020-10-21T18:34:36.86,,"{'es-ES': 'Preciosa finca rústica de 3.100 m2 vallada en todo su perímetro con 2 puertas de acceso, con luz y agua corriente, en Madrigal de la Vera. Casa de una planta de 120 m2 aprox. con 2 porches, 2 locales anexos, gallinero y piscina. Instalación alternativa con placas solares y acumuladores eléctricos. Finca de regadío miembro de la comunidad de regantes con zona de cultivo y unos 100 olivos y árboles frutales. Se encuentra junto a la Garganta de Alardos, en la Zona del Recodo, frente a la antigua fábrica de la luz. &quot;\nCaracterísticas básicas\n•Finca rústica\n•Parcela de 3.100 m²\n•1 planta\n•120 m² construidos\n•Ventanas PVC doble cámara, color Madera Nogal\n•Puerta blindada entrada a la vivienda\n•Cocina comedor con electrodomésticos y despensa\n•Chimenea\n•3 habitaciones dobles amuebladas y con armarios empotrados\n•Armario empotrado en zona de paso\n•1 baño completo con ducha y un aseo exterior\n•Trastero\n•2 porches\n•2 Edificaciones anexas\n•Certificación energética: en trámite.'}",Extremadura,Cáceres,Madrigal de la Vera,10480,40.15819,-5.366952,3,2,100,1,0,0,3100,320000.0
162152462,2,1,2021-12-20T11:20:22.433,Top Brokers,"{'es-ES': 'Se vende piso de particular a particular. Piso 1º de 100 m2. Reformado hace 5 años Alquilado desde el 1/5/2021. 3 Dorm. (2 dobles) y 2 baños completos (ducha y bañera), salón, cocina y distribuidor. Terraza exterior 4 m2.     El piso tiene además una buhardilla sin cabezada en el bajo cubierta de unos 15 m2, con hueco para ventana vertical, donde llega el AA desde la vivienda. Pre-instalación de AA por conductos y calefacción por radiadores. '}",Extremadura,Cáceres,Jaraíz de la Vera,10400,40.06111,-5.749738,3,2,115,5,0,6,0,65000.0
162152463,2,1,2021-12-20T11:20:22.433,Top Brokers,{'es-ES': 'Se vende piso de particular a particular.    Amueblado.'},Extremadura,Cáceres,Casar de Cáceres,10190,39.5592,-6.418671,3,1,75,6,0,7,0,85000.0
160022545,2,2,2021-05-12T19:44:23.727,Inmobiliaria Rubio,"{'es-ES': 'APARTAMENTO JUVENIL, CON DORMITORIOS AMPLIOS, BIEN DISTRIBUIDO Y CON MUCHA LUZ, MUY POCA COMUNIDAD Y CON PLAZA DE GARAJE INCLUIDA EN EL PRECIO. VEN A VERLO, TE LO QUEDARÁS SEGURO.[IW]'}",Extremadura,Cáceres,Cáceres Capital,10004,39.49336,-6.363535,2,1,70,7,5,6,0,59500.0
162234390,2,1,2022-01-02T14:19:13.703,Lorena,"{'es-ES': 'El piso tiene mucha luz. Tiene un balcón en la cocina y otro en el salón,calefaccion de pallets. Esta para entrar a vivir.'}",Extremadura,Cáceres,Plasencia,10600,40.02636,-6.101654,3,1,70,5,6,0,0,42000.0
144474137,2,1,2017-10-14T11:19:12.777,Puerto ,"{'es-ES': 'Piso muy luminoso situado enfrente de los múltiples, con 3 habitaciones grandes (posibilidad de 4 porque una es vestidor), 2 baños, cocina amplia, calefacción de gas ciudad, plaza de garaje incluida en el precio y vistas espectaculares al puerto. Con instalación para fibra.\nEn principio no amueblado. Certificado energético pendiente.'}",Extremadura,Cáceres,Plasencia,10600,40.04619,-6.06583,3,2,90,7,0,0,0,70000.0
