id,typeId,subtypeId,date,advertiser,descriptions,region,province,city,zipcode,latitude,longitude,rooms,bathrooms,surface,energy_certificate,antiquity,floor,surfaceland,price
156278790,2,1,2020-07-03T15:05:41.613,,"{'es-ES': 'Vivienda en zona proxima a escuelas, ambulatorios y comercios.\nSegúnda planta. Muy soleada. Amplios dormitorios, parket. Cocina, terraza tendedero. Preciosas vistas. Agencias NO.'}",Castilla-La Mancha,Guadalajara,Sigüenza,19250,41.06394,-2.646364,3,2,110,3,0,0,0,105000.0
157507624,2,5,2020-10-13T15:01:47.78,,"{'es-ES': '&quot;Se vende casa en LA LOMA -Pedáneo de Riba de Saelices- (Guadalajara), 120 metros cuadrados en dos plantas más buhardilla.\n\nConsta de: entrada, salón, baño y cocina en plata baja. Tres habitaciones en planta primera y buhardilla en planta segunda.\n\nLa casa tiene instalación de calefacción de gasoil con radiadores, chimenea de leña en cocina, muros de gran grosor que protegen del frío y el calor. Tejado en perfectas condiciones.\n\nPueblo pequeño muy tranquilo y familiar situado en un paraje precioso y estratégico para visitar algunos de los logares más bonitos de la provincia (Yacimiento visitable: Cueva de los Casares y poblado del Califato, Torre de Los Casares, Valle de los Milagros, Iglesia de parroquial de Riba de Saelices, Salinas romanas de Saelices de la Sal, Monasterio de Santa María de Buenafuente del Sistal, Parque Natural del Alto Tajo, Barranco del Río Dulce, Ruta de los chozones, …).&quot;'}",Castilla-La Mancha,Guadalajara,Riba de Saelices,19441,40.88056,-2.276579,3,1,120,7,0,0,0,32000.0
162463789,2,1,2022-01-31T08:07:41.3,Haya Real Estate,"{'es-ES': 'Edificio de diez alturas sobre rasante, situado en el municipio de Azuqueca de Henares, provincia de Guadalajara. Tiene una superficie de 102 m2 según catastro \n\nEl inmueble se encuentra en una zona tranquila, rodeado por viviendas residenciales de similares características. Cuenta con fácil acceso a la carretera y otros nudos de comunicación. Cercano a establecimientos y comercios de la zona.\n\nAzuqueca de Henares es un municipio español situado en la provincia de Guadalajara, en la comunidad autónoma de Castilla-La Mancha. Es el segundo municipio en importancia de la provincia tras la capital, por población y desarrollo socioeconómico. Se encuentra situado en eje industrial del Corredor del Henares, en la comarca de La Campiña, lo que le ha reportado un gran desarrollo. Su localización, cerca de la capital provincial y de otras ciudades importantes como Alcalá de Henares, es lo que en muchos casos hace que sea una ciudad dormitorio y dependiente de otras poblaciones.\nLa vivienda consta de salón  comedor, terraza descubierta, tres dormitorios, cocina y dos baños'}",Castilla-La Mancha,Guadalajara,Azuqueca de Henares,19200,40.56501,-3.268405,3,2,95,7,6,8,0,139400.0
157073456,2,5,2020-09-08T20:46:50.033,,"{'es-ES': 'CASA RURAL EN VENTA EN SAYATÓN\nSe trata de una singular y encantadora casa rural construida en 3 plantas.\n \n En la primera planta encontraremos unas zonas comunes muy espaciosas y cómodas presididas por dos espectaculares chimeneas, así como un aseo y la cocina de la casa. En la segunda y tercera planta se localizan las 5 habitaciones de la casa, todas ellas cuentan con baño completo acabado en mármol y granito y con columna de hidromasaje. En la última planta encontraremos dos terrazas donde se puede contemplar todo el pueblo. También mencionar que todos los suelos de la casa son de barro rústico cocido.\n \n La casa se vende totalmente equipada y con una cuidada y valiosa colección de antigüedades etnográficas que decoran la casa y le dotan de una personalidad muy especial.\n \nEl inmueble cuenta con Licencia de Turismo y es un negocio actualmente en explotación con buenos resultados, se vende por cambio de proyecto (jubilación). Funcionando, 80% de ocupación anual.'}",Castilla-La Mancha,Guadalajara,Sayatón,19119,40.37617,-2.85328,5,6,315,5,0,0,0,215000.0
161808434,2,3,2021-11-12T02:15:17.883,DON PISO GUADALAJARA,"{'es-ES': 'Casa de construcción tradicional en solar de 340 m², ocupando una superficie de 120 m² aproximadamente en planta. Está situada en Razbona, pedanía de Humanes, camino de la Sierra de Ayllón. La casa tiene 2 plantas y una cámara de grandes dimensiones. Hay posibilidad de fácilmente dividir en 2 viviendas, con 2 puertas independientes, ya que originariamente era así. En planta baja hay gran vestíbulo, 3 habitaciones, salón, cocina, baño, despensa grande alicatada y otra bajo escalera. En la planta alta hay otras 3 habitaciones con un gran distribuidor y otra gran estancia actualmente en bruto. La casa necesita reforma general, especialmente el tejado, el cual tiene en buen estado la estructura pero necesita un retejado o similar. En el patio hay alguna construcción antigua, árboles, etc, tiene mucho espacio pero necesita una limpieza. En resumen, una vivienda con mucho espacio ideal para dejar a gusto del comprador. --- NO cobramos comisión al comprador --- Ayudamos con la financiación sin sobrecoste al cliente. ( El PVP indicado no incluye impuestos ni gastos de Escritura ). PARA PROPIETARIOS: ¿Necesitas vender para comprar? te ayudamos coordinándolo todo y con hipoteca cambio de casa.¿Tienes prisa en vender? te ofrecemos una venta rápida con todas las garantías.¿Necesitas una hipoteca? en donpiso la encuentras y en condiciones preferentes.¿Herencias?, ¿Divorcios?, te ayudamos y coordinamos todo.Infórmate: 949 04 61 03 - guadalajara@donpiso.com'}",Castilla-La Mancha,Guadalajara,Humanes,19220,40.82605,-3.152506,7,1,240,6,8,3,0,50000.0
157491252,2,1,2020-10-11T00:12:55.823,,"{'es-ES': 'SE VENDE VIVIENDA EN LA LOCALIDAD DE  CARBONERAS (CABO GATA)\nSuperficie útil construida 90 m2   Terraza de 14 m2   Trastero 8 m2   Plaza de garaje. Venta directa con el propietario. Amplio pasillo, la habitación de matrimonio incluye un baño, otra habitación con dos amplias camas y armario empotrado, cocina equipada y terraza lavadero, otra habitación con cama matrimonial y armario empotrado, un amplio baño, salón comedor que da acceso a la terraza de 14 m2 con vistas al mar, aire acondicionado. Se vende al precio de compra, prácticamente sin uso (un mes al año) y la situación en la población es ideal por estar en zona tranquila y a cuatro minutos del Mar, Ayuntamiento, Notaría, Centro de Salud , Colegios, comercios y resto de servicios. Por lo que no hay necesidad de utilizar el coche. El acceso desde la calle, en la que se ve el mar es individual y se puede acceder por una escalera de 8 peldaños o por una suave rampa. El garaje y el cuarto trastero están a ras de suelo, lo utensilios de playa se puede dejar directamente en el amplio cuarto trastero. OJO El piso no está en Guadalajara ( no consigo modificar el error )'}",Castilla-La Mancha,Guadalajara,Guadalajara Capital,19002,40.62482,-3.15497,3,2,90,2,0,0,0,190000.0
162480198,2,3,2022-01-31T15:28:09.39,Haya Real Estate,"{'es-ES': 'Casa con una planta sobre rasante situada en el municipio de Loranca de Tajuña, provincia de Guadalajara. Zona bien comunicada a través de carretera. \nChalet independiente construido en una sola planta y distribuido en 3 habitaciones, cocina amueblada, 2 baños (uno con plato de ducha y otro con bañera) y salón-comedor independiente. Parcela de 412 m2'}",Castilla-La Mancha,Guadalajara,Loranca de Tajuña,19141,40.45127,-3.113847,3,2,76,7,4,0,0,79454.0
159662158,2,3,2021-04-14T11:32:21.423,INGESUL,"{'es-ES': 'Chalet independiente distribuido en dos plantas,  La planta semisótano se destina a garaje y otros servicios y la planta baja consta de porche, recibidor, cocina, salón, dos baños, distribuidor y tres dormitorios.'}",Castilla-La Mancha,Guadalajara,El Casar,19185,40.76273,-3.404394,3,2,237,7,0,0,0,169000.0
160653408,2,3,2021-07-09T06:07:46.12,DON PISO GUADALAJARA,"{'es-ES': 'Casa sin patio reformada recientemente, distribuidos en 2 plantas con buhardilla. En planta baja tiene un saloncito pequeño de entrada,  cocina con zona comedor, despensa y aseo. En primera planta tiene 2 dormitorios y baño, la buhardilla está en bruto sin acabar, no tiene actualmente escalera, sólo hueco de entrada, el tejado es de estructura de madera y habria que reparar o cambiar debido a entrada de agua. Está situada en municipio tranquilo, a media hora de Guadalajara. Posibilidad de FINANCIACIÓN 100% salvo gastos e impuestos. ---  NO cobramos comisión al comprador ---  Ayudamos con la financiación sin sobrecoste para el cliente.  ( El PVP indicado no incluye impuestos ni gastos de Escritura ). PARA PROPIETARIOS: ¿Necesitas vender para comprar? te ayudamos coordinándolo todo y con hipoteca cambio de casa.¿Tienes prisa en vender? te ofrecemos una venta rápida con todas las garantías.¿Necesitas una hipoteca? en donpiso la encuentras y en condiciones preferentes.¿Herencias?, ¿Divorcios?, te ayudamos y coordinamos todo.Infórmate: 949 04 61 03 - guadalajara@donpiso.com'}",Castilla-La Mancha,Guadalajara,Fuentelviejo,19144,40.52631,-2.982046,2,2,92,7,0,3,0,35000.0
160694386,2,1,2021-07-13T19:16:23.29,INMOBILIARIA RIENDAS,"{'es-ES': '130 m2, 3 dorm, 2 baños completos, amplio salón, terraza a la calle Amparo y terraza en la cocina, calefacción central, garaje y trastero, ascensor, cocina independiente amueblada con electrodomésticos. Tarima. '}",Castilla-La Mancha,Guadalajara,Guadalajara Capital,19001,40.62905,-3.16381,3,2,130,6,6,0,0,300000.0
