id,typeId,subtypeId,date,advertiser,descriptions,region,province,city,zipcode,latitude,longitude,rooms,bathrooms,surface,energy_certificate,antiquity,floor,surfaceland,price
159752194,2,1,2021-04-19T21:31:34.483,INMOBILIARIA TRIAL 3,"{'es-ES': 'Piso de 149.82 metros cuadrados ubicado en Pa Rago 2 en la localidad de Ayamonte, provincia de Huelva. Consta de 2 dormitorios, 2 baños, salón, cocina amueblada y lavadero. Azotea privativa a la que se sube mediante escalera de caracol. Armarios empotrados y preinstalación de aire.'}",Andalucía,Huelva,Ayamonte,21400,37.25501,-7.40035,2,2,149,7,0,7,0,111000.0
162996228,2,5,2022-03-21T20:21:44.173,MASQKASAS,"{'es-ES': 'Maravillosa casa adosada junto a la ria/centro\r\nDistribuida en tres dormitorios, baño completo, aseo, cocina totalmente equipada, patio, salon comedor, lavadero y solarium'}",Andalucía,Huelva,Punta Umbría,21100,37.18678,-6.96808,3,2,90,7,0,0,0,189900.0
162545675,2,1,2022-02-06T00:35:22.32,inmoTP,"{'es-ES': 'Subrogación de hipoteca, sigue pagando 449€ al mes. Bajo con 3 dormitorios, 2 baños completos, 2 patios, cocina amueblada con electrodomésticos de aluminio, suelo de mármol, totalmente nuevo. Ropero empotrado de cristal lacado en blanco, solo 4 vecinos en el bloque, cerca del centro andando, supermercados.... Subrogamos la hipoteca ahórrate los gastos de formalización, condiciones hipotecarias mucho mejor que las de ahora. Pueden venir a verlo cuando quieran, listo para entrar a vivir.\r\n                        \r\n                        \r\n                        \r\n                            Leer descripción completa'}",Andalucía,Huelva, Huelva Capital,21002,37.26772,-6.948322,3,2,103,7,4,0,0,117000.0
155279376,2,5,2020-04-15T18:35:24.76,INMOBILIARIA JUAN DACOSTA,"{'es-ES': 'ADOSADO EN URB. WERJAMAR I, LA ANTILLA\r\n\r\nAdosado de tres plantas con piscina.\r\n\r\nDispone de cuatro habitaciones, tres armarios empotrados, salón comedor, cocina equipada (horno, microondas, frigorífico), aseo, dos baños (uno con bañera y otro con ducha), patio y amplia terraza.\r\n\r\nTiene capacidad para 8-9 personas.\r\n\r\nTiene dos plazas de aparcamiento en garaje.\r\n\r\nDistribución:\r\n\r\nPlanta baja: Terraza, salón comedor, cocina, aseo y patio.\r\n\r\nPrimera planta: Tres habitaciones y baño con ducha.\r\n\r\nSegunda planta:\xa0 Habitación y baño con bañera.\r\n\r\nLa urbanización tiene piscina de adultos y\xa0 piscina infantil.\r\n\r\nSe encuentra cerca del Club Náutico-Deportivo Vera de Mar, Bar Cafe-terraza infantil Veo-Veo y el circuito de Karts infantil, supermercado El Día, churreria, Cervecería La Duna, etc.'}",Andalucía,Huelva,La Antilla,21449,37.20917,-7.206207,4,3,120,7,0,0,0,220000.0
160669714,2,5,2021-07-11T11:35:00.34,,"{'es-ES': 'Casa en Zufre, con garaje, 140 metros, 3 dormitorios , salón 2 baños, aso y cocina'}",Andalucía,Huelva,Zufre,21210,37.83138,-6.34443,3,2,130,5,0,0,0,140000.0
161464340,2,6,2021-10-05T22:04:13.107,Jose,"{'es-ES': 'Atico en venta 127m², 3 habitaciones, 2 baños, terraza, cuartillo, climatización central, todo amueblado listo para entrar a vivir.\nSe acepta subrogación.'}",Andalucía,Huelva,Gibraleón,21500,37.37935,-6.976612,3,2,127,5,3,0,0,110000.0
159391765,2,7,2021-03-22T10:07:32.033,Samuel,"{'es-ES': 'Precioso Apartamento Dúplex con terrazas, totalmente amueblado y equipado en zona verde y privilegiada del campo de golf de Islantilla , urbanización privada con dos piscinas , zonas verdes y plaza de garaje a 800 metros de la playa , un paraje excepcional de descanso y confort. Entreplanta. Garaje. Amueblado. Terraza. Calefacción. Piscina. Jardín. CE: C'}",Andalucía,Huelva,Islantilla,21431,37.21505,-7.23361,2,2,85,3,4,0,0,125000.0
162324502,2,1,2022-01-14T13:27:57.01,JAYCASA INMOBILIARIA,"{'es-ES': 'Magnifico piso en Isla Chica. La vivienda de 96 m2 se distribuye en un amplio salón comedor, 4 dormitorios, 2 de ellos con armarios empotrados, y el principal además con balcón, 1 baño completo y 1 aseo.\r\ncocina equipada y amueblada.\r\nOfrece excelentes calidades tales como: cerramientos de aluminio, portaje de madera y suelos de mármol entre otros.. .\r\nEl edifico dispone de ascensor y la comunidad son 50 €.\r\nExcelente ubicación, la zona ofrece todos los servicios necesarios para el día a día. No deje pasar esta oportunidad y venga a visitarlo sin compromiso alguno no se arrepentirá!.'}",Andalucía,Huelva, Huelva Capital,21006,37.26257,-6.933641,4,2,96,7,0,8,0,123000.0
154345495,2,3,2020-01-28T10:02:52.95,,"{'es-ES': 'CHALET EN EL PORTIL- COSTA DE LA LUZ HUELVA\n\n\nVENDO: \nPareado, sobre parcela privada de 70 viviendas.\n\nELEMENTOS COMUNES:\nJardín, 2 piscinas y Padel Tenis.\n\nVIVIENDA:\nConsta de jardín particular de mas de 250 m2 con arbolado y flores.\nLa casa se compone de dos plantas, orientación Este y suroeste.\nPLANTA BAJA: Con cocina amueblada, electrodomésticos (nevera, lavadora, lavavajillas, arcón congelador, horno, vitrocerámica, microondas, con pequeña alacena.\nSALON COMEDOR: De 40 m2, con chimenea, y una habitación con armario empotrado y cuarto de baño.\nPLANTA ALTA: Compuesta de 3 dormitorios.\nEl dormitorio principal con vestidor, con armariadas, y un cuarto de baño completo con doble seno, vistas al campo de Golf.\nOtro dormitorio de matrimonio con armario empotrado, con terraza cubierta y vistas a las piscinas y padel.\nOtra habitación de matrimonio (que utilizamos como despacho, con estanterías y mesa, ventana a las piscinas, padel tenis y jardín comunitario.\nUn cuarto de baño completo.\nUn Rellano con armario empotrado  o zapatero, con altillo.\n\nCUARTILLOS:\nUno como trastero y otro como leñero.\n\nM2 CONSTRUIDOS UNOS 165.\n\nESTA SITUADA: \nA 300 metros de la playa. \nA 1 km. de 3 Puertos deportivos.\nEn zona ecológica de 12.500 hectáreas de pi\tnares.\nA 45 kilómetros mas o menos del Algarve de Portugal \n\nPRECIO DE LA CASA: 265.000 EUROS. \n\nTELEFONO DE CONTACTO: Y'}",Andalucía,Huelva,El Portil,21459,37.21466,-7.056494,4,3,165,3,0,0,250,240000.0
162586649,2,5,2022-02-09T12:17:16.817,GESTION INMOBILIARIA LA CUPULA,"{'es-ES': 'Vivienda adosada, distribuida en 3 dormitorios, armarios empotrados,  salón comedor, cocina amueblada con electrodomésticos, 2 baños, patio de unos 20 m2 con toldo, terraza amplia techada, garaje privado, aire acondicionado, en zona de parques. Mejor Ver\r\n\r\nEn cumplimiento del decreto de la junta de Andalucía 218/2005 del 11 de Octubre, se le informa al cliente que los gastos notariales, registrales, ITP, honorarios de la agencia y otros gastos inherentes a la compraventa no están incluidos en el precio.\r\n'}",Andalucía,Huelva,Hinojos,21740,37.29343,-6.379658,3,2,110,7,0,5,0,109000.0
