id,typeId,subtypeId,date,advertiser,descriptions,region,province,city,zipcode,latitude,longitude,rooms,bathrooms,surface,energy_certificate,antiquity,floor,surfaceland,price
150208524,2,2,2019-03-04T14:44:07.397,INMOBILIARIAS GRUPO CEREN,"{'es-ES': 'URBANIZACIÓN CON PISCINA Y BARBACOA COMUNITARIA\r\n\r\n2 HABITACIONES, BAÑO, COCINA Y SALÓN.\r\n\r\nTRASTERO COMUNITARIO A DISPOSICIÓN DE LOS PROPIETARIOS.\r\n\r\nACS y CALEFACCIÓN GAS PROPANO, PUERTAS DE ROBLE, VENTANAS ALUMINIO CLIMALIT, SUELOS TARIMA.\r\n\r\nADMITE ARRENDAMIENTO CON OPCIÓN A COMPRA.\r\n\r\nSE VENDE AMUEBLADO\r\n\r\nMás inmuebles en www.grupoceren.com'}",La Rioja,La Rioja,Castañares de Rioja,26240,42.51017,-2.928957,2,1,65,5,0,8,0,70000.0
147849229,2,2,2018-07-30T13:23:25.87,INMOBILIARIA REYCO,"{'es-ES': 'Apartamento con ascensor y calefacción en la Herradura:\r\n\r\nAmplia cocina con espacio para comedor diario, salón, 2 dormitorios y baño reformado, ventanas de aluminio con rotura de puente térmico y cristal climalit.'}",La Rioja,La Rioja,Haro,26200,42.57862,-2.844716,2,1,51,7,0,6,0,45000.0
158138399,2,1,2020-12-03T09:14:01.913,asier odriozola martinez,"{'es-ES': 'GRAN OPORTUNIDAD POR SÓLO 36000 €\nA 4KM DE HARO \nSOLEADO, BALCÓN Y MIRADOR\nURBANIZACIÓN Y PATIO COMÚN DONDE APARCAR EL COCHE'}",La Rioja,La Rioja,Anguciana,26210,42.57351,-2.89993,2,1,60,5,0,0,0,36000.0
156532769,2,3,2020-07-24T18:11:15.67,INMOBILIARIA SANZ,"{'es-ES': 'Casa en Nestares con mucha amplitud,\xa0muy buenas vistas y gran terraza.\xa0La casa está distribuida:\xa0Planta baja: cochera, merendero con chimenea, despensa y botellero, entrada al portal , trastero y sala de caldera. Planta primera: 2 habitaciones, salón, cocina y baño completo. Planta segunda: 2 dormitorios, baño completo, despensa- trastero y gran terraza con toldo. Casa de ladrillo caravista y hormigón de 1979.\xa0Ventanas de aluminio climalit.'}",La Rioja,La Rioja,Nestares,26110,42.27012,-2.618805,4,2,192,7,6,0,0,139000.0
150241317,2,1,2019-03-06T10:08:06.497,INMOBILIARIAS GRUPO CEREN,"{'es-ES': 'PISO\xa0A ESTRENAR V.P.O.\xa0EN RESIDENCIAL PICOS DE LA DEMANDA. Urbanización con piscina y zona verde.\r\n\r\nVIVIENDAS DE PROTECCION OFICIAL (Solo para aquellos que vayan a vivir de continuo)\r\n\r\nUbicado a 2 minutos del Paseo del Espolón en una zona tranquila, podrás disfrutar de tu vida diaria en esta urbanización con piscina y zona verde.\r\n\r\nLos pisos tienen 3 habitaciones, 2 baños, salón comedor, cocina y terraza. Plaza de garaje en sótano y trastero.\r\n\r\n****SE VENDE COMPLETAMENTE AMUEBLADO****\r\n\r\nGASTOS DE COMUNIDAD 48 EUROS AL MES INCLUYENDO MANTENIMIENTO DE PISCINA\r\n\r\nLlámanos y te los enseñamos sin compromiso'}",La Rioja,La Rioja,Santo Domingo de la Calzada,26250,42.44331,-2.959354,3,2,92,4,0,6,0,94500.0
150208559,2,1,2019-03-04T14:45:44.713,INMOBILIARIAS GRUPO CEREN,"{'es-ES': 'Zona tranquila, piso amplio de\xa04 habitaciones, salón, cocina, terraza y dos baños. Trastero.\r\n\r\nSIN ASCENSOR\r\n\r\nCALEFACCION DE GAS NATURAL-PARA ENTRAR A VIVIR\r\n\r\nLLÁMANOS Y TE LO\xa0ENSEÑAMOS, te esperamos en nuestras inmobiliarias de Santo Domingo de la Calzada en C/Madrid nº1 y en Ezcaray en C/Sagastía nº15.\r\n\r\nMás inmuebles en\xa0www.grupoceren.com\r\n\r\n\xa0\r\n\r\n\xa0'}",La Rioja,La Rioja,Nájera,26300,42.4181,-2.731634,4,2,116,7,7,7,0,83000.0
150208561,2,3,2019-03-04T14:45:46.97,INMOBILIARIAS GRUPO CEREN,"{'es-ES': 'CHALET CON PISCINA EN ESPECTACULAR FINCA DE 40.000 M2 PRIVADA\r\n\r\nPrivacidad, es lo que define a esta finca con una extensión señorial.\xa0Amplio paseo hasta divisar la casa de piedra con corte gallego. Distribuida en dos plantas diferenciadas en dos cotas dentro del terreno. Piscina privada, aparcamiento para coches, leñera.\r\n\r\nCota inferior.- 2\xa0habitaciones, salón-cocina y baño\r\n\r\nPlanta superior.-Espectacular salón-comedor-biblioteca con chimenea de leña, 5 habitaciones, y dos baños\r\n\r\nLLÁMANOS Y TE LO\xa0ENSEÑAMOS, te esperamos en nuestras inmobiliarias de Santo Domingo de la Calzada en C/Madrid nº1 y en Ezcaray en C/Sagastía nº15.\r\n\r\nMás inmuebles en\xa0www.grupoceren.com'}",La Rioja,La Rioja,Ojacastro,26270,42.36979,-2.981146,7,3,466,7,0,0,40,650000.0
150208565,2,7,2019-03-04T14:45:58.673,INMOBILIARIAS GRUPO CEREN,"{'es-ES': 'DUPLEX\xa0 EN CÁRDENAS\r\n\r\n2 habitaciones, 2 baños, salón, cocina.\r\n\r\nAscensor\r\n\r\n\xa0'}",La Rioja,La Rioja,Cárdenas,26311,42.37444,-2.767551,3,2,72,7,0,7,0,85000.0
156893237,2,1,2020-08-31T10:47:49.887,BERZAL INMOBILIARIA,"{'es-ES': 'Piso en Baños de Rio Tobia zona , 95 m. de superficie, 30 m2 de terraza, 3 habitaciones, 2 baños (en suite con ducha y el de cortesía con bañera), propiedad para entrar a vivir, cocina sólo muebles, carpinteria interior de roble, orientación norte sur, suelo de gres y parquet, carpintería exterior de aluminio / climalit.\n Extras: acceso pmr, agua, ascensor, balcón, calefacción, gas ciudad, luminoso, luz, puerta blindada, terraza, trastero, autobuses, árboles, céntrico, centros médicos, colegios, montaña, primera línea, rural, supermercados, urbanización, vistas despejadas, zona de paso, zonas infantiles, garaje  incluido\n Gastos de comunidad: 60 Eur.'}",La Rioja,La Rioja,Baños de Río Tobía,26320,42.33036,-2.759995,3,2,95,5,4,6,0,90000.0
150241335,2,1,2019-03-06T10:09:44.633,INMOBILIARIAS GRUPO CEREN,"{'es-ES': 'En primera línea de la Calle San Roque una calle con vida propia dentro del pulmón de la ciudad,\xa0a 50 metros del casco histórico, tenemos este estupendo piso con una luz estupenda y con\xa0sol de mañana.\xa0Tercera planta sin ascensor.\r\nLa vivienda es amplia, con 3 habitaciones, 2 baños, amplio\xa0salón y\xa0cocina, ambos con balcón a la calle San Roque y una pequeña terraza. Trastero en planta bajo cubierta de 6 m2.\r\n\r\nLa casa se vende vacía, salvo la cocina que está completamente montada a falta de la lavadora y el frigorífico. La calefacción es de gas\xa0propano\xa0con posibilidad de poner gas natural.\xa0Suelos de tarima.\xa0\xa0\r\n\r\nLlámanos y te lo enseñamos sin compromiso\r\n\r\n\xa0'}",La Rioja,La Rioja,Santo Domingo de la Calzada,26250,42.43935,-2.952069,3,2,106,6,0,8,0,51000.0
