id,typeId,subtypeId,date,advertiser,descriptions,region,province,city,zipcode,latitude,longitude,rooms,bathrooms,surface,energy_certificate,antiquity,floor,surfaceland,price
159776770,2,1,2021-04-21T17:46:26.277,CRD INMO GESTION,{},Melilla,Melilla, Melilla Capital,52001,35.29826,-2.939171,4,2,117,7,0,12,0,185000.0
153491468,2,1,2019-11-13T19:11:07.597,URBANA AGENCIA INMOBILIARIA,{},Melilla,Melilla, Melilla Capital,52006,35.28445,-2.942307,0,0,90,7,0,8,0,150000.0
158427149,2,1,2021-01-10T18:18:07.82,,"{'es-ES': 'PISO 2 DORMITORIOS PARKING TRASTERO\nPOSIBILIDAD 2º APARCAMIENTO 2º TRASTERO-\n\nMagnifica oportunidad en el barrio quot;El Realquot; a 8 minutos de la playa de la Hípica, cerca del mercado del Real. La vivienda consta de una amplia entrada, cocina con luminoso lavadero, salón con terraza, 2 amplias habitaciones y un cuarto de baño con plato de ducha. La vivienda está en una urbanización con pista de pádel, amplia zona comunitaria y piscina. En el precio se incluye un PARKING y un TRASTERO de 14 m2. Posibilidad de un aparcamiento más y trastero (precio a convenir). Los dos parking y  y los dos trasteros están juntos.'}",Melilla,Melilla, Melilla Capital,52006,35.27624,-2.94109,2,1,78,1,0,0,0,175000.0
161249295,2,1,2021-09-14T09:54:20.61,,"{'es-ES': 'estupendo piso situado en lo alto del real de 103 metros que consta de 3 dormitorios, 2 baños, un salón muy amplio, y cocina.'}",Melilla,Melilla, Melilla Capital,52006,35.27411,-2.94694,3,2,0,5,0,0,0,200000.0
161263636,2,3,2021-09-15T11:38:45.233,CRD INMO GESTION,"{'es-ES': 'Bonita vivienda unifamiliar en esquina, que consta de cuatro dormitorios, dos salones, cocina totalmente amueblada y equipada, vivienda semiamueblada, aire acondicionado centralizado etc....\r\nZona Real.'}",Melilla,Melilla, Melilla Capital,52006,35.27591,-2.945705,4,4,275,7,0,5,0,450000.0
147318825,2,1,2018-06-15T19:20:44.21,INMOBILIARIA MELIURBIS,{},Melilla,Melilla, Melilla Capital,52001,35.29642,-2.95294,3,1,92,7,0,6,0,135000.0
151738413,2,52,2019-06-24T12:16:20.553,CRD INMO GESTION,"{'es-ES': 'Amplia vivienda de 140mts2, con 3 dormitorios, 2 baños, y terraza de 16mts, plaza de garaje y trastero.\r\nAire acondicionado centralizado ""air zone"", gres compacto de 1ª calidad, vivienda amueblada y cocina amueblada y con electrodomésticos. Alarma \r\nEn el precio está incluida la plaza de garaje y el trastero, con posibilidad de adquirir 2 plazas de garaje más.Lavadero privado en la parte superior del edificio.\r\nUrbanización cerrada con piscina y zonas comunes, dotada de cámaras de vídeo vigilancia.\r\n'}",Melilla,Melilla, Melilla Capital,52005,35.28546,-2.952887,3,2,140,7,4,3,0,290000.0
162328621,2,1,2022-01-14T20:00:06.047,,"{'es-ES': 'Piso con tres habitaciones uno con armario a medida, dos baños, salón-comedor, cocina, lavadero y con cochera de 30m2. Aire acondicionado centralizado.'}",Melilla,Melilla, Melilla Capital,52006,35.27182,-2.948376,3,2,82,2,0,0,0,190000.0
162250800,2,3,2022-01-04T21:01:43.223,,"{'es-ES': 'Vendo casa independiente en barrio el real, 3 plantas.\n\n-planta 1 dispone de 3 habitaciones, 2 baños (uno de ellos en suit), salón comedor con terraza y cocina con patio.\n-la planta 2 dispone de 2 cuartos de lavado y 2 azoteas del tamaño de la vivienda\nHace esquina en zona muy tranquila, baños recién reformados y gran hueco en los garajes.'}",Melilla,Melilla, Melilla Capital,52006,35.27483,-2.944779,3,2,300,1,0,0,0,500000.0
156764218,2,5,2020-08-14T21:38:15.063,,"{'es-ES': 'Se vende edificio con garaje de 100 m2, 2 pisos el primero con dos dormitorios, cocina con offi, salón comedor y dos baños. El segundo 3 dormitorios, cocina, salón comedor y dos baños. En el tercer piso una habitación con 90 m2 de terraza.\nEdificio con ascensor desde el garaje a la terraza.'}",Melilla,Melilla, Melilla Capital,52005,35.28523,-2.94354,5,4,330,1,0,0,100,600000.0
157284431,2,1,2020-09-23T12:47:14.6,CRD INMO GESTION,"{'es-ES': 'Bonito piso de dos dormitorios, un baño, cocina equipada, salón.\r\nZonas comunes con piscina y jardín.\r\nEl precio incluye plaza de garaje.'}",Melilla,Melilla, Melilla Capital,52006,35.27275,-2.94326,2,1,45,7,0,9,0,140000.0
150376534,2,1,2019-03-15T18:33:37.693,URBANA AGENCIA INMOBILIARIA,"{'es-ES': 'piso en la zona del real de dos dormitorios, un baño, cocina, salón, lavadero, amueblado, ascensor, zonas comunes con piscina y deporte.\r\nCon garaje y trastero'}",Melilla,Melilla, Melilla Capital,52006,35.27377,-2.94385,2,1,75,7,0,7,0,175000.0
160841817,2,1,2021-07-30T08:55:26.47,CRD INMO GESTION,"{'es-ES': 'Bonito piso en edificio en 1ª línea de playa, que consta de 2 dormitorios, 1 baño, cocina totalmente amueblada y equipada, lavadero, plaza de garaje en el mismo edificio, aire acondicionado, zonas comunes con piscina   etc....'}",Melilla,Melilla, Melilla Capital,52006,35.28284,-2.939374,2,1,88,7,5,7,0,250000.0
159985782,2,1,2021-05-10T01:24:34.97,Jorge,"{'es-ES': 'IMPRESIONANTE! Piso de 3 habitaciones antes 4 se quito una para ampliar Salon comedor y dormitorio principal, el dormitorio principal en suite tiene baño interior, salon de casi 40m², cocina muy amplia y perfectamente equipada con mobiliario y electrodomésticos de primera calidad, sanitarios de primera calidad, el baño principal tiene bañera y el del dormitorio principal ducha, tiene una amplia terraza de 12m² totalmente acristalada y con vistas a la urbanización, plaza de garaje y trastero incluidos en el precio, la urbanización cuenta con pista de futbol sala, pista de baloncesto, mesas de ping pong exteriores, dos piscinas y zonas verdes. Una de las mejores urbanizaciones de Melilla, ideal para matrimonio con hijos, buen ambiente con los vecinos para disfrutarla todo el año. La vivienda también cuenta con aire acondicionado centralizado (frio y bomba de calor) con termostatos individuales en cada habitación. La vivienda se vende amueblada como se puede ver en las fotos esta decorada con todo lujo de detalles. Una vivienda de revista. No dudes en consultar.'}",Melilla,Melilla, Melilla Capital,52006,35.27674,-2.945809,3,2,110,1,0,0,0,257000.0
158320759,2,1,2020-12-23T18:16:01.26,URBANA AGENCIA INMOBILIARIA,"{'es-ES': 'PISO EN LA ZONA DEL BARRIO DE LA VICTORIA  DE 108M2, DE CUATRO DORMITORIOS, DOS BAÑOS, COCINA Y SALÓN,  AMUEBLADO, ASCENSOR, VENTANAS, COMUNIDAD DE 60€, 18 VECINOS.\r\nCERCA DE ESTE PISO ALQUILAN PLAZAS DE GARAJE O SE PUEDEN COMPRAR'}",Melilla,Melilla, Melilla Capital,52005,35.28895,-2.952017,4,2,108,7,0,12,0,140500.0
153843834,2,5,2019-12-12T10:08:04.833,CRD INMO GESTION,"{'es-ES': 'Magnífico chalet adosado en venta de 250mts2.\r\nConsta de 5 dormitorios, 4 baños, amplio salón y salita, con acceso directo al porche, armarios empotrados en dormitorios y en la entrada, terrazas en dormitorios, en la primera planta.\r\nCocina amueblada.\r\nAire acondicionado en todas las estancias, porche acristalado y también con aire acondicionado, terraza con lavadero cerrado y acceso directo a zonas comunes, con jardín, piscina y pista de padel .\r\nAmplio garaje'}",Melilla,Melilla, Melilla Capital,52005,35.29094,-2.959663,5,4,315,7,5,0,0,515000.0
