id,typeId,subtypeId,date,advertiser,descriptions,region,province,city,zipcode,latitude,longitude,rooms,bathrooms,surface,energy_certificate,antiquity,floor,surfaceland,price
154890244,2,3,2020-03-05T17:16:02.713,ALISEDA SERVICIOS DE GESTION INMOBILIARIA SL,"{'es-ES': 'Casa ubicada en Santa María de Huerta, Soria. Muy próxima al Ayuntamiento, la estación de trenes y a sitios de interés como el Monasterio Cisterciense de Santa María de Huerta.'}",Castilla y León,Soria,Santa María de Huerta,42260,41.26223,-2.175071,0,0,286,7,0,1,0,12700.0
157085701,2,5,2020-09-09T11:58:30.68,Jose ,"{'es-ES': 'Se vende casa y tierras en Suellacabras, la casa para reformar.'}",Castilla y León,Soria,Suellacabras,42189,41.85185,-2.224,3,1,100,3,0,0,0,
160763910,2,1,2021-07-21T12:14:17.093,Antonio,{},Castilla y León,Soria,Berlanga de Duero,42360,41.4671,-2.86359,3,1,65,7,5,0,0,54000.0
162564104,2,1,2022-02-08T09:55:36.667,,{'es-ES': 'Vendo piso VPO (89 m2) con trastero y dos plazas de garaje contiguas.\nOrientación sureste.\nCalefacción individual con aporte de placas térmicas.\nPosibilidad de dejar amueblado tanto cocina como estancias.'},Castilla y León,Soria,Soria Capital ,42005,41.75938,-2.486281,3,2,89,1,3,0,0,150000.0
156538893,2,1,2020-07-25T18:03:22.193,Soledad,"{'es-ES': 'Preciosa y luminosa casa ubicada en la Plaza del humilladero en Castilfrio de la Sierra. Se encuentra a 20 minutos en coche de Soria. La casa tiene dos plantas, para restaurar totalmente. Infinitas posibilidades.'}",Castilla y León,Soria,Castilfrío de la Sierra,42180,41.91913,-2.30579,4,1,90,7,0,0,0,36000.0
157843489,2,1,2020-11-10T10:35:21.713,Solvia,"{'es-ES': 'Vivienda tipo dúplex en Soria.Inmueble de 82 m² distribuidos en 3 plantas, consta de salón-comedor, con cocina abierta, 3 dormitorios, 1 baño. Los suelos son de parquet y tiene armarios empotrados en algunas de sus estancias. Cuenta con ascensor. Localizado en una zona con todos los servicios necesarios como: restaurantes, comercios, centro médico, etc. Está a pocos metros del Parque de la Alameda de Cervantes de Soria y de la plaza de toros. Rodeado de museos y lugares de interés histórico.Dispone de muy buena comunicación tanto pública con varias paradas de autobús cercanas y la estación de tren a menos de 15 minutos, como privada a través de la  N-234 y la A-15 , podrá desplazarse a poblaciones cercanas o al Parque Natural Sierra de Cebollera.  Por todo ello es una gran opción para construir un hogar y entrar a vivir de inmediato.Con los servicios de Solvia podrá encontrar la vivienda que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente.'}",Castilla y León,Soria,Soria Capital ,42001,41.76496,-2.468298,3,1,81,5,0,0,0,121000.0
152973347,2,1,2019-10-03T10:50:34.93,PISO IDEAL SERVICIOS INMOBILIARIOS SL,"{'es-ES': '¿Buscas un piso amplio, céntrico, cálido y muy luminoso? ¡Lo encontraste! \n \n \n En la céntrica calle Sagunto, una zona en el corazón de la ciudad, a unos pasos de la ""Dehesa"" y el ""Espolón"", con todos los servicios en la puerta de tu hogar, farmacia, centro médico, colegios, comercios y hostelería...pero siendo un barrio tranquilo y sin bullicio, ¡aquí ubicarás tu nuevo hogar!\n \n En la actualidad está dividido en 4 habitaciones dobles, salón, cocina independiente con lavadero, despensa,  baño y aseo...puedes elegir entre hacer una pequeña reforma o diseñar sus casi 100m2 a tu gusto, tienes 1001 posibilidades.\n \n Orientación sur con una terraza acristalada  y espectaculares vistas. donde tomarte un café con los primeros rayos de sol de la mañana, disfrutar de las inmejorables vistas donde podrás vislumbrar desde las faldas del Castillo o nuestro pulmón de Soria que es la Alamada de Cervantes...  pequeños placeres que serán rutina diaria en tu nuevo hogar.\n \n \nTenemos Tu Piso Ideal'}",Castilla y León,Soria,Soria Capital ,42001,41.7654,-2.471131,4,2,105,5,7,11,0,155000.0
159549477,2,5,2021-04-06T18:38:47.897,,"{'es-ES': 'Casa de dos plantas.Dispone de 4 habitaciones, 3 baños, salon y cocina.\nToda amueblada, ventanas en todas las estancias.\nAgua caliente y calefacion de gasoil,tiene placas solares.'}",Castilla y León,Soria,Abejar,42146,41.80688,-2.78168,4,3,135,3,0,0,0,150000.0
155510828,2,3,2020-05-07T11:22:05.713,ALFA SORIAPISO OF 6916,"{'es-ES': 'Venta de impresionante chalet independiente en Almazán. La parcela cuenta con 1123 m2. El chalet consta de dos plantas. En planta baja: comedor de 40 m2, sala estar ,cocina con 2 despensas,aseo,y cuarto de lavadora. En  la 1ªplanta :5 dormitorios,(3 con arm.empotrados) y dos baños.En la 2ªplanta; sala de juegos de unos 40 m2. En planta semisótano,( que dá a la calle directamente también); además incluye garaje para cuatro coches, dormitorio,salón de unos 72 m2 con chimenea,cocina ,baño completo y despensa+trastero. La parcela está bien cuidada con zonas verdes todo alrededor.¡ Excelente calidad precio!¡No dudes en llamarnos!'}",Castilla y León,Soria,Almazán,42200,41.48034,-2.531492,6,5,634,7,6,0,0,420000.0
149131321,2,1,2018-11-22T17:52:18.14,INMOBILIARIA ALTO DUERO,{'es-ES': 'SE VENDE EL PISO CON 2 PLAZAS DE GARAJE Y TRASTERO DE 25 M2. '},Castilla y León,Soria,Soria Capital ,42003,41.75967,-2.467277,4,2,102,5,0,9,0,150000.0
