id,typeId,subtypeId,date,advertiser,descriptions,region,province,city,zipcode,latitude,longitude,rooms,bathrooms,surface,energy_certificate,antiquity,floor,surfaceland,price
161992707,2,3,2021-12-02T09:02:42.933,,"{'es-ES': 'Se vende CASA-CHALET DE MADERA con parcela de 870 m2\nSe trata de una casa con encanto, una vivienda independiente de 90 m2, situada en Orihuela del Tremedal, en la comarca de Albarracín, en el entorno natural de los Montes Universales (Teruel). Ubicada en la Urbanización Virgen del Tremedal, con una parcela de 870 m2, en la que se encuentra además una pequeña casa de obra para trastero o almacenaje. \nLa vivienda construida con madera de pino de Soria con doble cristal, contraventanas de madera con estructura metálica soldada y falleba interior. Puertas en madera castellana de cuarterones. La distribución en una sola planta (accesible) consta de 3 habitación (2 2 3 camas), cuarto de baño completo, cocina y salón comedor con chimenea. Cuenta también con un porche principal en la entrada. \nLas tres habitaciones disponen de espaciosos armarios empotrados. La vivienda puede venderse amueblada como aparece en las fotos.\nEsta casa familiar en Orihuela del Tremedal es ideal para disfrutar de la naturaleza en un entorno incomparable.\n\nABSTENERSE INMOBILIARIAS\n\nCONTACTAR POR WHATSAPP'}",Aragón,Teruel,Orihuela del Tremedal,44366,40.54442,-1.645546,3,1,870,1,0,0,0,157000.0
160032783,2,9,2021-05-13T17:39:21.107,FINCAS MATARRAÑA,"{'es-ES': '- Finca rústica de 2,35 hectáreas en Calaceite.\r\n- Con masía de dos plantas para rehabilitar en pleno Barranco de Los Calapatáns.\r\n- Tiene agua a través del barranco y del antiguo pozo de noria.\r\n- Cultivo de cereal, pinar y algún almendro.\r\n- Zona bonita y tranquila. La finca se sitúa a 3,5 kilómetros de la carretera, a medio camino entre Calaceite y Cretas.'}",Aragón,Teruel,Calaceite,44610,41.01241,0.1850607,0,0,23500,0,0,0,0,35000.0
162652177,2,3,2022-02-14T11:03:53,PROPERTY MARENGO,"{'es-ES': 'UNA CASA EN UN PUEBLO CON ENCANTO. LA MIRAS ?   Vivienda en Maestrazgo Bordon, una vivienda a dos calles, una vivienda en buen estado, dispone de baja mas dos alturas. Puede disfrutar de su chimenea que le da calidez en su estancia de estar. seis habitaciones amplias que le permitiran hacer o ampliar las salas de estar, para disfrutar de unos amplios espacios. RURAL MARENGO  Inmobiliaria Maestrazgo, Els Ports, Alto Mijares, Bajo Aragon, Teruel, Aragon, venta casas rurales, casas de pueblo, Morella, casa rural, palacios, castillos, casas señoriales'}",Aragón,Teruel,Bordón,44563,40.6859,-0.3201564,6,1,222,7,0,0,0,45000.0
161306643,2,2,2021-09-20T13:08:08.22,TUROL CASA SERVICIOS INMOBILIARIOS 2000,"{'es-ES': 'Venta de apartamento en el Centro Histórico de Teruel.\r\n 1 dormitorio con cama de 1,50 con armario empotrado.\r\nbaño completo con ducha.\r\nCocina equipada con armarios altos y bajos y electrodomésticos en cimera de silestone la cocina es abierta a salón amueblado con Tv y el sofá se hace cama.\r\nCalefacción central con contadores individuales.\r\nSuelos de parquet.\r\nVentanas oscilobatientes con doble cristal y rotura de puente térmico\r\nAscensor.\r\npocos gastos de comunidad.\r\nFinca seminueva.\r\nIdeal para inversores.\r\nSe puede utilizar como apartamento turístico.'}",Aragón,Teruel, Teruel Capital,44001,40.34331,-1.105452,1,1,39,7,4,5,0,69000.0
135710740,2,5,2015-06-10T11:34:20.72,Manuel Garces,"{'es-ES': 'Casa de pueblo en la Sierra de Albarracín,para entrar a vivir con 7 habitaciones y 2 baños 1 con bañera y una habitación trastero,pueblo tranquilo,con bar,tienda y ambulancia 24 horas, ideal para hacer senderismo,excursiones , ciclismo de montaña y buenas jornadas micológicas en unos parajes extraordinarios como el Hoyón,castillo de los Ares,grabados pueblo ibero,escultura de un tumi del Peruano,la gran sabina del hoyón y el barranco de cardoso,destacando los paisajes soberbios formados por planicies altas,batidas por el cierzo y cubiertas por un sabinar rastrero en donde los amantes de las aves podrán disfrutar con la observación de la singular avifauna esteparia.A tan solo 10 minutos en coche de Cella,Santa Eulalia y Bronchales con sus Montes Universales,la fuente del canto y sus bellos parajes.quot;'}",Aragón,Teruel,Pozondón,44368,40.56042,-1.46965,7,2,182,7,4,0,0,72000.0
161535248,2,1,2021-10-14T10:54:18.567,ASESORES INMOBILIARIOS CASTRUM,"{'es-ES': 'Se vende piso en Avenida Aragón de Alcañiz:  Gran salón comedor con balcón y vistas, cocina con galería cerrada y zona de lavandero y trastero despensa. 3 dormitorios dobles, uno con armario empotrado y amplio recibidor.\r\nTodo exterior, con calefacción individual de gas ciudad.\r\nPLAZA DE GARAJE OPCIONAL : 9.000 EUROS. Índice de referencia de precios de alquiler: '}",Aragón,Teruel,Alcañiz,44600,41.04984,-0.1300581,3,1,119,7,7,6,0,69000.0
156846103,2,5,2020-08-25T17:14:22.387,Manuel Guinot,"{'es-ES': 'Se vende casa para reformar en Cañada de Benatanduz,provincia de Teruel. \nSi quieres desconectar de la rutina y el bullicio de la ciudad, aprovecha esta oportunidad de comprar una casa en un pueblo tranquilo y acogedor del Maestrazgo turolense. Y disfruta desde tu ventana de las vistas de una de las vegas mas bonita de la zona.'}",Aragón,Teruel,Cañada de Benatanduz,44140,40.57907,-0.5384406,2,1,200,7,0,0,300,25000.0
162695193,2,1,2022-02-17T18:36:01.07,,"{'es-ES': 'Piso por ESTRENAR y muebles nuevos. MUY LUMINOSO, en zona residencial y con BONITAS VISTAS a la montaña.\nTienes DOS HABITACIONES dobles; una con cama de matrimonio y otra con cama nido. Armarios empotrados y todas las estancias tienen calefacción y ventana.\nSe alquila por todo el año.\nBronchales es un precioso municipio situado en la Sierra de Albarracín (Teruel). Conocido por su masa de pinares y en sus parajes podemos encontrar gran cantidad de fuentes naturales, cuyas aguas son de reconocida calidad. Es un lugar especial para descansar, hacer senderismo, bicicleta BTT o actividades de montaña.'}",Aragón,Teruel,Bronchales,44367,0.0,0.0,2,1,72,7,0,0,0,
161894429,2,9,2021-11-22T11:06:42.093,ART Inmobiliaria ,"{'es-ES': 'CASA DE PUEBLO EN LA VIRGEN DE LA VEGA, junto a la urbanización El Solano de la Vega y a escasos 10 minutos de la estación de esquí de Valdelinares.\r\n\r\nLa propiedad se encuentra en un gran punto en este precioso rincón de la Sierra de Gúdar, frente al campo de golf municipal ""Los Castillejos"", a escasos minutos de las pistas de esquí de Valdelinares y a 3 Km de el pueblo de Alcalá de la Selva.\r\n\r\nLa propiedad se encuentra para rehabilitar, pudiendo construir varias viviendas independientes con terrazas y jardín. Ideal para inversión o construir una gran vivienda en un emplazamiento único\r\n\r\nLa Virgen de la Vega se encuentra a 3 kilómetros de Alcalá de la Selva, que es el municipio del que depende, es considerado como un barrio residencial orientado principalmente al turismo y a los esquiadores que disfrutan de las pistas de esquí Valdelinares, está situado a 1396 metros de altura.\r\nLa zona es ideal, pues podemos disfrutar de todas las estaciones del año, así como de todo tipo de actividades relacionadas con la aventura y la alta montaña\r\n\r\nAlberga buenos restaurantes, hoteles, alquiler de material de esquí, apartamentos y bungalows que se encuentran distribuidos a lo largo de la carretera de acceso a las pistas.\r\n\r\nEs un precioso valle con altísimos chopos que te acompañan en el viaje, fuentes y granjas, también allí se localiza la Iglesia de la Virgen de la Vega, un preciosos santuario barroco del siglo XVIII, con una valiosa imágen románica de la Virgen de la Vega.\r\n\r\nTus objetivos son nuestra prioridad. Nuestro éxito será tu confianza. ART Inmobiliaria - San Antonio de Benagéber (Valencia).\r\nOfrecemos departamento de tramitación (NIE, cuenta bancaria, etc. ) para nuestros clientes extranjeros que desean comprar vivienda en España.\r\n\r\nWE SPEAK ENGLISH: If you need further information, please contact us.\r\nNOUS PARLONS FRANÇAIS: Pour plus d´information, contactez-nous.'}",Aragón,Teruel,Alcalá de la Selva,44431,40.35265,-0.70974,3,0,465,7,9,0,0,79000.0
143833117,2,5,2017-08-23T18:05:41.083,Alba Verdera Sáenz,"{'es-ES': 'Vendo casa en Torrecilla del Rebollar, bonito pueblo de la Sierra de Cucalón (comarca del Jiloca), con pinar milenario, ideal para amantes de la naturaleza y la tranquilidad. Tiene pozo propio y conserva algunos muebles de lo que era la antigua tienda del pueblo. La casa es de planta baja y dos pisos, con un total de 385 m² aprox., más unas cuadras con doble altura de unos 40 m² y un patio de 80 m². La estructura y las cubiertas están en buen estado. En el interior necesita reformas, principalmente hacer la cocina y el baño. Por sus características y dimensiones la casa tiene muchas posibilidades, incluso para casa de turismo rural.'}",Aragón,Teruel,Torrecilla del Rebollar,44222,40.90839,-1.072629,5,1,385,7,0,0,0,29000.0
