id,typeId,subtypeId,date,advertiser,descriptions,region,province,city,zipcode,latitude,longitude,rooms,bathrooms,surface,energy_certificate,antiquity,floor,surfaceland,price
156893191,2,1,2020-08-31T10:45:52.433,CAJA RURAL ZAMORA,{},Castilla y León,Zamora,Toro,49800,41.52432,-5.39198,3,2,92,7,0,6,0,90000.0
159793162,2,1,2021-04-22T19:59:28.29,SANTA CLARA INMOBILIARIA,"{'es-ES': 'Piso de 4 dormitorios con vistas despejadas donde se ve la espectacular estación de trenes de Zamora.\n \n Con aprox. 110 m de superficie, este piso se divide en 4 dormitorios, dos baños, una cocina independiente totalmente equipada con acceso a una terraza acristalada, y un amplio salón luminoso con una segunda terraza acristalada.\n \n Garaje y trastero incluidos.\n \n El edificio cuenta con acceso para personas de movilidad reducida.\n \n Nuestra empresa está formada por un equipo profesional Joven y Dinámico con un objetivo común: Satisfacer las demandas de nuestros Clientes.\n \n La sociedad tiene por objeto: la Promoción, Compra, Venta y Construcción de toda clase de Bienes Inmuebles Urbanos y Rústicos.\n \n Una agencia joven con profesionales expertos y dinámicos.\n \n Disponemos de una amplia oferta inmobiliaria de Viviendas Nuevas y 2ª Mano, Chalets y Fincas por toda la provincia, alquileres y traspasos, todo ello con las mejores garantías económicas del mercado.'}",Castilla y León,Zamora,Zamora Capital ,49010,41.51694,-5.739847,4,2,110,7,0,8,0,160000.0
162562063,2,1,2022-02-07T21:11:59.563,VIVENZA,"{'es-ES': 'Zona campus, amplio y luminoso, 4 dormitorios, 1 baño, calefacción de gas ciudad, ventanas dobles, suelos de parquet, balcón de 8m2, portal reformado, sin barreras, ascensor.Zona de aparcamiento privado'}",Castilla y León,Zamora,Zamora Capital ,49021,41.51268,-5.72979,4,1,95,7,6,7,0,82500.0
161013779,2,1,2021-08-23T22:53:50.133,Inmobiliaria Carlos González,"{'es-ES': 'Vivienda en el barrio el Pinar muy luminosa, soleada, exterior y con agradable vista. \r\nPiso semiamueblado. \r\n\r\nConsta de: vestíbulo, distribuidor, cocina amueblada con electrodomésticos, salón comedor, baño completo con bañera, aseos con plato de ducha, tres habitaciones y dos terrazas.\r\n\r\nCalefacción de gas propano.\r\nCuenta con un trastero bajo cubierta de 10 m2. construidos.\r\nEntorno: colegio, guardería, parque, jardines... \r\n#ref:PV180817'}",Castilla y León,Zamora,Benavente,49600,42.00571,-5.67276,3,2,85,7,0,7,0,68500.0
159809565,2,52,2021-04-24T16:52:42.127,,"{'es-ES': 'Casa en pueblo , con corral , puerta trasera para vehiculos grandes, con 5 habitaciones, desván, trastero.'}",Castilla y León,Zamora,Santovenia,49750,41.87895,-5.71002,5,1,130,5,0,0,0,60000.0
161153055,2,1,2021-09-03T12:21:58.863,EUROCASA ZAMORA INMOBILIARIA,"{'es-ES': 'Rfª-408.Gran piso exterior con 208 m2 útiles, terraza y 2 plazas de garaje en el centro de Zamora capital.Disfrute de vivir en el centro sin ninguna limitación (5 dormitorios, 3 baños, 2 plazas de garaje) y con todas las comodidades (ascensor sin barreras arquitectónicas, calefacción y agua caliente individual, tarima de jatoba, trastero).Piso muy amplio y luminoso (séptima planta) en pleno centro de Zamora, con vistas inmejorables. Vivienda ideal para disfrutar del espacio y la comodidad de estar en el centro.https://www.eurocasazamora.com/'}",Castilla y León,Zamora,Zamora Capital ,49008,41.50992,-5.743148,5,3,249,7,6,12,0,495000.0
160743472,2,1,2021-07-19T17:36:47.017,,"{'es-ES': 'Piso de 3 habitaciones, baño y aseo. Balcones cerrados.\nAscensor. Posibilidad de garaje. Certificado energético en trámite.'}",Castilla y León,Zamora,Zamora Capital ,49031,41.50376,-5.752926,3,2,100,5,0,0,0,100000.0
153600049,2,1,2019-11-22T12:23:32.61,INMOBILIARIA PROCASA,"{'es-ES': 'Ático de dos dormitorios en venta en el centro de Benavente, a 50 metros de la Plaza de Santa María.\r\n\r\nEl edificio no dispone de ascensor.\r\n\r\nEl inmueble tiene de 73 m2 construidos distribuidos en: hall de entrada, salón-comedor, cocina, dos dormitorios y un cuarto de baño.\r\n\r\nEl sistema de calefacción es mediante acumuladores.\r\n\r\nEl inmueble se encuentra en excelente estado de conservación, perfecto para entrar a vivir.\r\n\r\n¡Interesados contactar con Inmobiliaria Procasa y organizaremos una visita sin compromiso!'}",Castilla y León,Zamora,Benavente,49600,42.00279,-5.67974,2,1,73,7,6,8,0,40000.0
154705973,2,3,2020-02-19T18:29:43.203,SANTA CLARA INMOBILIARIA,"{'es-ES': '¡OPORTUNIDAD ÚNICA! CASA PROCEDENTE DE BANCO CON 4 DORMITORIOS, PATIO Y SÓTANO.\n \n Tiene una superficie de 242 m. distribuida en 2 plantas y sótano.\n \n La planta baja cuenta con un amplio salón, cocina independiente con acceso directo a patio, un baño y un dormitorio.\n \n En la primera planta se encuentran 3 dormitorios dobles con armarios empotrados y un baño.\n \n El sótano es un espacio diáfano, ideal para almacenaje o para equiparlo como bodega.\n \n La propiedad cuenta con  carpintería interior de madera, suelo de gres porcelánico, carpintería exterior de climalit y calefacción de gas Natural.\n \n Extras: calefacción, luminoso, patio, sótano, autobuses, árboles, colegios, parques, zonas infantiles\n \n No dejes pasar esta ocasión y ponte en contacto con nosotros para concertar una visita.\n Nuestra empresa está formada por un equipo profesional Joven y Dinámico con un objetivo común: Satisfacer las demandas de nuestros Clientes.\n \n La sociedad tiene por objeto: la Promoción, Compra, Venta y Construcción de toda clase de Bienes Inmuebles Urbanos y Rústicos.\n \n Una agencia joven con profesionales expertos y dinámicos.\n \n Disponemos de una amplia oferta inmobiliaria de Viviendas Nuevas y 2ª Mano, Chalets y Fincas por toda la provincia, alquileres y traspasos, todo ello con las mejores garantías económicas del mercado.'}",Castilla y León,Zamora,Zamora Capital ,49002,41.49924,-5.742672,4,2,242,7,4,0,0,167000.0
160383032,2,1,2021-06-11T18:12:09.593,INMOBILIARIA PROCASA,"{'es-ES': '¡Gran oportunidad!\r\n\r\nVivienda de 93 m2 en estado para reforma, cuenta con 3 dormitorios.\r\n\r\nLa vivienda se encuentra ubicada en la planta cuarta del edificio y dispone de estancias con orientación este, sur y otras con orientación oeste.\r\n\r\nLa vivienda cuenta con vestíbulo, salón, cocina, tres dormitorios, un cuarto de baño, despensa y dos amplias terrazas.\r\n\r\nCuenta con la instalación de distribución mediante radiadores para gas natural, simplemente precisa de la instalación de la caldera.\r\n\r\n¡Contacta con Inmobiliaria Procasa sin compromiso!'}",Castilla y León,Zamora,Benavente,49600,42.00364,-5.67346,3,1,93,7,6,9,0,40000.0
